Area_name,STCOU,EDU010197F,EDU010197D,EDU010197N1,EDU010197N2,EDU010198F,EDU010198D,EDU010198N1,EDU010198N2,EDU010199F,EDU010199D,EDU010199N1,EDU010199N2,EDU010200F,EDU010200D,EDU010200N1,EDU010200N2,EDU010201F,EDU010201D,EDU010201N1,EDU010201N2,EDU010202F,EDU010202D,EDU010202N1,EDU010202N2,EDU015203F,EDU015203D,EDU015203N1,EDU015203N2,EDU015204F,EDU015204D,EDU015204N1,EDU015204N2,EDU015205F,EDU015205D,EDU015205N1,EDU015205N2,EDU015206F,EDU015206D,EDU015206N1,EDU015206N2
"Conecuh, AL",01035,0,2337,0000,0000,0,2211,0000,0000,0,2159,0000,0000,0,2145,0000,0000,0,2110,0000,0000,0,2061,0000,0000,0,1853,0000,0000,0,1847,0000,0000,0,1829,0000,0000,0,1824,0000,0000
"Coosa, AL",01037,0,1851,0000,0000,0,1866,0000,0000,0,1817,0000,0000,0,1735,0000,0000,0,1735,0000,0000,0,1704,0000,0000,0,1618,0000,0000,0,1507,0000,0000,0,1497,0000,0000,0,1402,0000,0000
"Covington, AL",01039,0,6965,0000,0000,0,6855,0000,0000,0,6730,0000,0000,0,6589,0000,0000,0,6482,0000,0000,0,6370,0000,0000,0,6323,0000,0000,0,6237,0000,0000,0,6291,0000,0000,0,6250,0000,0000
"Crenshaw, AL",01041,0,2399,0000,0000,0,2356,0000,0000,0,2300,0000,0000,0,2330,0000,0000,0,2387,0000,0000,0,2397,0000,0000,0,2449,0000,0000,0,2485,0000,0000,0,2352,0000,0000,0,2518,0000,0000
"Cullman, AL",01043,0,11993,0000,0000,0,12168,0000,0000,0,12242,0000,0000,0,12226,0000,0000,0,12217,0000,0000,0,12109,0000,0000,0,12416,0000,0000,0,12520,0000,0000,0,12664,0000,0000,0,12754,0000,0000
"Dale, AL",01045,0,7796,0000,0000,0,7761,0000,0000,0,7599,0000,0000,0,8367,0000,0000,0,8371,0000,0000,0,8218,0000,0000,0,7094,0000,0000,0,6995,0000,0000,0,6901,0000,0000,0,6926,0000,0000
"Dallas, AL",01047,0,9843,0000,0000,0,9595,0000,0000,0,9437,0000,0000,0,9258,0000,0000,0,9021,0000,0000,0,8795,0000,0000,0,8769,0000,0000,0,8690,0000,0000,0,8649,0000,0000,0,8511,0000,0000
"DeKalb, AL",01049,0,10147,0000,0000,0,10277,0000,0000,0,10240,0000,0000,0,10165,0000,0000,0,10443,0000,0000,0,10611,0000,0000,0,10849,0000,0000,0,11044,0000,0000,0,11507,0000,0000,0,11545,0000,0000
"Elmore, AL",01051,0,11368,0000,0000,0,11689,0000,0000,0,11791,0000,0000,0,11842,0000,0000,0,11909,0000,0000,0,11855,0000,0000,0,12109,0000,0000,0,12136,0000,0000,0,12365,0000,0000,0,12620,0000,0000
"Escambia, AL",01053,0,6513,0000,0000,0,6545,0000,0000,0,6460,0000,0000,0,6259,0000,0000,0,6185,0000,0000,0,6077,0000,0000,0,5976,0000,0000,0,5890,0000,0000,0,5887,0000,0000,0,5829,0000,0000
"Etowah, AL",01055,0,16596,0000,0000,0,16351,0000,0000,0,16391,0000,0000,0,15828,0000,0000,0,15818,0000,0000,0,15662,0000,0000,0,15811,0000,0000,0,15971,0000,0000,0,16160,0000,0000,0,16253,0000,0000
"Fayette, AL",01057,0,2910,0000,0000,0,2866,0000,0000,0,2840,0000,0000,0,2787,0000,0000,0,2781,0000,0000,0,2741,0000,0000,0,2656,0000,0000,0,2602,0000,0000,0,2581,0000,0000,0,2518,0000,0000
"Franklin, AL",01059,0,5711,0000,0000,0,5700,0000,0000,0,5651,0000,0000,0,5556,0000,0000,0,5533,0000,0000,0,5372,0000,0000,0,5384,0000,0000,0,5434,0000,0000,0,5518,0000,0000,0,5543,0000,0000
"Geneva, AL",01061,0,4242,0000,0000,0,4254,0000,0000,0,4293,0000,0000,0,4205,0000,0000,0,4141,0000,0000,0,4005,0000,0000,0,3999,0000,0000,0,3961,0000,0000,0,3928,0000,0000,0,4002,0000,0000
"Greene, AL",01063,0,2220,0000,0000,0,2069,0000,0000,0,1976,0000,0000,0,1888,0000,0000,0,1747,0000,0000,0,1778,0000,0000,0,1635,0000,0000,0,1612,0000,0000,0,1583,0000,0000,0,1490,0000,0000
"Hale, AL",01065,0,3409,0000,0000,0,3380,0000,0000,0,3407,0000,0000,0,3339,0000,0000,0,3302,0000,0000,0,3272,0000,0000,0,3303,0000,0000,0,3166,0000,0000,0,3198,0000,0000,0,3206,0000,0000
"Henry, AL",01067,0,2850,0000,0000,0,2927,0000,0000,0,2820,0000,0000,0,2751,0000,0000,0,2794,0000,0000,0,2713,0000,0000,0,2667,0000,0000,0,2713,0000,0000,0,2739,0000,0000,0,2754,0000,0000
"Houston, AL",01069,0,14575,0000,0000,0,15252,0000,0000,0,15376,0000,0000,0,14978,0000,0000,0,14862,0000,0000,0,14855,0000,0000,0,14999,0000,0000,0,14870,0000,0000,0,15174,0000,0000,0,15262,0000,0000
"Jackson, AL",01071,0,9337,0000,0000,0,9326,0000,0000,0,9194,0000,0000,0,8973,0000,0000,0,8957,0000,0000,0,8876,0000,0000,0,8798,0000,0000,0,8734,0000,0000,0,8708,0000,0000,0,8720,0000,0000
"Jefferson, AL",01073,0,113289,0000,0000,0,112305,0000,0000,0,111903,0000,0000,0,110108,0000,0000,0,109534,0000,0000,0,109128,0000,0000,0,107289,0000,0000,0,106673,0000,0000,0,107101,0000,0000,0,106172,0000,0000
"Lamar, AL",01075,0,2935,0000,0000,0,2854,0000,0000,0,2837,0000,0000,0,2803,0000,0000,0,2684,0000,0000,0,2643,0000,0000,0,2472,0000,0000,0,2403,0000,0000,0,2389,0000,0000,0,2375,0000,0000
"Lauderdale, AL",01077,0,13544,0000,0000,0,13453,0000,0000,0,13341,0000,0000,0,13248,0000,0000,0,13133,0000,0000,0,13105,0000,0000,0,13007,0000,0000,0,13040,0000,0000,0,12956,0000,0000,0,12937,0000,0000
"Lawrence, AL",01079,0,6274,0000,0000,0,6275,0000,0000,0,6258,0000,0000,0,6130,0000,0000,0,6118,0000,0000,0,6024,0000,0000,0,5740,0000,0000,0,5652,0000,0000,0,5560,0000,0000,0,5521,0000,0000
"Lee, AL",01081,0,16107,0000,0000,0,16644,0000,0000,0,17124,0000,0000,0,17397,0000,0000,0,17929,0000,0000,0,17914,0000,0000,0,18261,0000,0000,0,18759,0000,0000,0,19237,0000,0000,0,19761,0000,0000
"Limestone, AL",01083,0,10493,0000,0000,0,10732,0000,0000,0,10912,0000,0000,0,10788,0000,0000,0,10765,0000,0000,0,10751,0000,0000,0,10740,0000,0000,0,10938,0000,0000,0,11200,0000,0000,0,11350,0000,0000
"Lowndes, AL",01085,0,2955,0000,0000,0,2890,0000,0000,0,2800,0000,0000,0,2735,0000,0000,0,2620,0000,0000,0,2608,0000,0000,0,2415,0000,0000,0,2311,0000,0000,0,2161,0000,0000,0,2159,0000,0000
"Macon, AL",01087,0,4167,0000,0000,0,4133,0000,0000,0,4062,0000,0000,0,4020,0000,0000,0,3885,0000,0000,0,3767,0000,0000,0,3781,0000,0000,0,3276,0000,0000,0,3471,0000,0000,0,3210,0000,0000
"Madison, AL",01089,0,42898,0000,0000,0,43889,0000,0000,0,44208,0000,0000,0,44382,0000,0000,0,44496,0000,0000,0,45165,0000,0000,0,46461,0000,0000,0,47065,0000,0000,0,49165,0000,0000,0,49875,0000,0000
"Marengo, AL",01091,0,5006,0000,0000,0,4847,0000,0000,0,4867,0000,0000,0,4789,0000,0000,0,4702,0000,0000,0,4700,0000,0000,0,4543,0000,0000,0,4514,0000,0000,0,4564,0000,0000,0,4499,0000,0000
"Marion, AL",01093,0,5440,0000,0000,0,5306,0000,0000,0,5287,0000,0000,0,5160,0000,0000,0,5096,0000,0000,0,5086,0000,0000,0,4971,0000,0000,0,4939,0000,0000,0,5073,0000,0000,0,5028,0000,0000
"Marshall, AL",01095,0,14367,0000,0000,0,14736,0000,0000,0,14696,0000,0000,0,14829,0000,0000,0,14875,0000,0000,0,14911,0000,0000,0,15277,0000,0000,0,15253,0000,0000,0,15806,0000,0000,0,15874,0000,0000
"Mobile, AL",01097,0,64833,0000,0000,0,65230,0000,0000,0,65324,0000,0000,0,65067,0000,0000,0,64976,0000,0000,0,63846,0000,0000,0,64774,0000,0000,0,63987,0000,0000,0,65643,0000,0000,0,65097,0000,0000
"Monroe, AL",01099,0,5102,0000,0000,0,4932,0000,0000,0,4726,0000,0000,0,4581,0000,0000,0,4438,0000,0000,0,4446,0000,0000,0,4431,0000,0000,0,4297,0000,0000,0,4396,0000,0000,0,4361,0000,0000
"Montgomery, AL",01101,0,34746,0000,0000,0,34605,0000,0000,0,33994,0000,0000,0,33705,0000,0000,0,34331,0000,0000,0,34241,0000,0000,0,32645,0000,0000,0,32066,0000,0000,0,32526,0000,0000,0,31867,0000,0000
"Morgan, AL",01103,0,19247,0000,0000,0,19218,0000,0000,0,19315,0000,0000,0,19321,0000,0000,0,19373,0000,0000,0,19375,0000,0000,0,19557,0000,0000,0,19582,0000,0000,0,19889,0000,0000,0,19954,0000,0000
"Perry, AL",01105,0,2390,0000,0000,0,2355,0000,0000,0,2293,0000,0000,0,2301,0000,0000,0,2302,0000,0000,0,2250,0000,0000,0,2168,0000,0000,0,2094,0000,0000,0,2056,0000,0000,0,2022,0000,0000
"Pickens, AL",01107,0,3925,0000,0000,0,3883,0000,0000,0,3844,0000,0000,0,3768,0000,0000,0,3708,0000,0000,0,3668,0000,0000,0,3317,0000,0000,0,3242,0000,0000,0,3183,0000,0000,0,3101,0000,0000
"Pike, AL",01109,0,4776,0000,0000,0,4621,0000,0000,0,4562,0000,0000,0,4598,0000,0000,0,4497,0000,0000,0,4495,0000,0000,0,4468,0000,0000,0,4521,0000,0000,0,4537,0000,0000,0,4557,0000,0000
"Randolph, AL",01111,0,3831,0000,0000,0,3859,0000,0000,0,3775,0000,0000,0,3741,0000,0000,0,3760,0000,0000,0,3751,0000,0000,0,3713,0000,0000,0,3742,0000,0000,0,3803,0000,0000,0,3781,0000,0000
"Russell, AL",01113,0,8565,0000,0000,0,9084,0000,0000,0,8936,0000,0000,0,8859,0000,0000,0,8802,0000,0000,0,8866,0000,0000,0,8963,0000,0000,0,8900,0000,0000,0,9194,0000,0000,0,9195,0000,0000
"St. Clair, AL",01115,0,10483,0000,0000,0,10487,0000,0000,0,10670,0000,0000,0,10823,0000,0000,0,10944,0000,0000,0,10989,0000,0000,0,11324,0000,0000,0,11642,0000,0000,0,12054,0000,0000,0,12324,0000,0000
"Shelby, AL",01117,0,18472,0000,0000,0,18842,0000,0000,0,19211,0000,0000,0,19689,0000,0000,0,20129,0000,0000,0,20768,0000,0000,0,22541,0000,0000,0,23336,0000,0000,0,24713,0000,0000,0,25635,0000,0000
"Sumter, AL",01119,0,2808,0000,0000,0,2867,0000,0000,0,2864,0000,0000,0,2828,0000,0000,0,2781,0000,0000,0,2711,0000,0000,0,2632,0000,0000,0,2570,0000,0000,0,2562,0000,0000,0,2416,0000,0000
"Talladega, AL",01121,0,13865,0000,0000,0,13660,0000,0000,0,13726,0000,0000,0,13289,0000,0000,0,13183,0000,0000,0,12943,0000,0000,0,13291,0000,0000,0,13224,0000,0000,0,13106,0000,0000,0,13026,0000,0000
"Tallapoosa, AL",01123,0,7131,0000,0000,0,7103,0000,0000,0,7030,0000,0000,0,6985,0000,0000,0,6951,0000,0000,0,7007,0000,0000,0,6938,0000,0000,0,6848,0000,0000,0,6933,0000,0000,0,6736,0000,0000
"Tuscaloosa, AL",01125,0,25638,0000,0000,0,25715,0000,0000,0,25771,0000,0000,0,25237,0000,0000,0,25211,0000,0000,0,25222,0000,0000,0,26317,0000,0000,0,26002,0000,0000,0,26744,0000,0000,0,27050,0000,0000
"Walker, AL",01127,0,11578,0000,0000,0,11459,0000,0000,0,11142,0000,0000,0,10844,0000,0000,0,10804,0000,0000,0,10646,0000,0000,0,10976,0000,0000,0,11049,0000,0000,0,11201,0000,0000,0,11037,0000,0000
"Washington, AL",01129,0,3798,0000,0000,0,3792,0000,0000,0,3708,0000,0000,0,3622,0000,0000,0,3589,0000,0000,0,3630,0000,0000,0,3575,0000,0000,0,3577,0000,0000,0,3595,0000,0000,0,3606,0000,0000
"Wilcox, AL",01131,0,2610,0000,0000,0,2748,0000,0000,0,2618,0000,0000,0,2558,0000,0000,0,2534,0000,0000,0,2511,0000,0000,0,2481,0000,0000,0,2334,0000,0000,0,2307,0000,0000,0,2237,0000,0000
"Winston, AL",01133,0,4584,0000,0000,0,4629,0000,0000,0,4594,0000,0000,0,4595,0000,0000,0,4541,0000,0000,0,4493,0000,0000,0,4479,0000,0000,0,4457,0000,0000,0,4518,0000,0000,0,4453,0000,0000
ALASKA,02000,0,129919,0000,0000,0,132123,0000,0000,0,135374,0000,0000,0,134391,0000,0000,0,133356,0000,0000,0,134358,0000,0000,0,133933,0000,0000,0,132937,0000,0000,0,133288,0000,0000,0,132608,0000,0000
"Aleutians East, AK",02013,0,407,0000,0000,0,346,0000,0000,0,366,0000,0000,0,362,0000,0000,0,301,0000,0000,0,324,0000,0000,0,307,0000,0000,0,294,0000,0000,0,271,0000,0000,0,267,0000,0000
"Aleutians West, AK",02016,0,654,0000,0000,0,652,0000,0000,0,608,0000,0000,0,631,0000,0000,0,560,0000,0000,0,575,0000,0000,0,571,0000,0000,0,572,0000,0000,0,563,0000,0000,0,512,0000,0000
"Anchorage, AK",02020,0,48109,0000,0000,0,48888,0000,0000,0,49587,0000,0000,0,49382,0000,0000,0,49526,0000,0000,0,49767,0000,0000,0,49722,0000,0000,0,49545,0000,0000,0,49714,0000,0000,0,49485,0000,0000
"Bethel, AK",02050,0,4415,0000,0000,0,4539,0000,0000,0,4586,0000,0000,0,4586,0000,0000,0,4573,0000,0000,0,4578,0000,0000,0,4679,0000,0000,0,4721,0000,0000,0,5009,0000,0000,0,4886,0000,0000
"Bristol Bay, AK",02060,0,1054,0000,0000,0,1099,0000,0000,0,1110,0000,0000,0,1053,0000,0000,0,1048,0000,0000,0,1017,0000,0000,0,885,0000,0000,0,898,0000,0000,0,854,0000,0000,0,608,0000,0000
"Denali, AK",02068,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,559,0000,0000
"Dillingham, AK",02070,0,547,0000,0000,0,581,0000,0000,0,567,0000,0000,0,564,0000,0000,0,578,0000,0000,0,555,0000,0000,0,519,0000,0000,0,541,0000,0000,0,551,0000,0000,0,1220,0000,0000
"Fairbanks North Star, AK",02090,0,17218,0000,0000,0,17243,0000,0000,0,17669,0000,0000,0,17106,0000,0000,0,16509,0000,0000,0,16403,0000,0000,0,15992,0000,0000,0,16009,0000,0000,0,16102,0000,0000,0,16475,0000,0000
"Haines, AK",02100,0,442,0000,0000,0,442,0000,0000,0,440,0000,0000,0,425,0000,0000,0,402,0000,0000,0,379,0000,0000,0,328,0000,0000,0,300,0000,0000,0,295,0000,0000,0,303,0000,0000
"Hoonah-Angoon, AK",02105,1,947,5084,0000,1,885,5084,0000,1,831,5084,0000,1,812,5084,0000,1,797,5084,0000,1,751,5084,0000,1,526,5084,0000,1,498,5084,0000,1,499,5084,0000,1,469,5084,0000
"Juneau, AK",02110,0,7188,0000,0000,0,6909,0000,0000,0,7348,0000,0000,0,6939,0000,0000,0,6535,0000,0000,0,6625,0000,0000,0,5919,0000,0000,0,5351,0000,0000,0,5273,0000,0000,0,5215,0000,0000
"Kenai Peninsula, AK",02122,0,10415,0000,0000,0,10459,0000,0000,0,10300,0000,0000,0,10225,0000,0000,0,9925,0000,0000,0,9971,0000,0000,0,9645,0000,0000,0,9715,0000,0000,0,9612,0000,0000,0,9575,0000,0000
"Ketchikan Gateway, AK",02130,0,2901,0000,0000,0,2782,0000,0000,0,2757,0000,0000,0,2643,0000,0000,0,2517,0000,0000,0,2437,0000,0000,0,2387,0000,0000,0,2325,0000,0000,0,2365,0000,0000,0,2321,0000,0000
"Kodiak Island, AK",02150,0,2879,0000,0000,0,2897,0000,0000,0,2804,0000,0000,0,2817,0000,0000,0,2743,0000,0000,0,2825,0000,0000,0,2697,0000,0000,0,2701,0000,0000,0,2749,0000,0000,0,2661,0000,0000
"Lake and Peninsula, AK",02164,0,547,0000,0000,0,570,0000,0000,0,578,0000,0000,0,491,0000,0000,0,528,0000,0000,0,477,0000,0000,0,434,0000,0000,0,406,0000,0000,0,416,0000,0000,3,0,0000,0000
"Matanuska-Susitna, AK",02170,0,12479,0000,0000,0,12768,0000,0000,0,12942,0000,0000,0,12735,0000,0000,0,13008,0000,0000,0,13410,0000,0000,0,14372,0000,0000,0,14768,0000,0000,0,15506,0000,0000,0,15945,0000,0000
"Nome, AK",02180,0,2552,0000,0000,0,2600,0000,0000,0,2674,0000,0000,0,2638,0000,0000,0,2496,0000,0000,0,2490,0000,0000,0,2537,0000,0000,0,2474,0000,0000,0,2447,0000,0000,0,2449,0000,0000
"North Slope, AK",02185,0,2225,0000,0000,0,2272,0000,0000,0,2101,0000,0000,0,2131,0000,0000,0,2187,0000,0000,0,2165,0000,0000,0,2065,0000,0000,0,1938,0000,0000,0,1941,0000,0000,0,1859,0000,0000
"Northwest Arctic, AK",02188,0,2171,0000,0000,0,2143,0000,0000,0,2232,0000,0000,0,2192,0000,0000,0,2188,0000,0000,0,2223,0000,0000,0,2214,0000,0000,0,2143,0000,0000,0,2149,0000,0000,0,2111,0000,0000
"Petersburg, AK",02195,1,1499,5090,0000,1,1487,5090,0000,1,1474,5090,0000,1,1372,5090,0000,1,1341,5090,0000,1,1295,5090,0000,1,1210,5090,0000,1,1154,5090,0000,1,1087,5090,0000,1,1055,5090,0000
"Prince of Wales-Hyder, AK",02198,0,1533,0000,0000,0,1456,0000,0000,0,1395,0000,0000,0,1403,0000,0000,0,1441,0000,0000,0,1536,0000,0000,0,1722,0000,0000,0,1497,0000,0000,0,1510,0000,0000,0,1471,0000,0000
"Sitka, AK",02220,0,2071,0000,0000,0,2069,0000,0000,0,2021,0000,0000,0,2075,0000,0000,0,1970,0000,0000,0,1977,0000,0000,0,1860,0000,0000,0,1884,0000,0000,0,1911,0000,0000,0,1900,0000,0000
"Skagway, AK",02230,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000,2,0,5084,0000
"Southeast Fairbanks, AK",02240,0,582,0000,0000,0,518,0000,0000,0,517,0000,0000,0,480,0000,0000,0,490,0000,0000,0,500,0000,0000,0,502,0000,0000,0,448,0000,0000,0,427,0000,0000,0,1814,0000,0000
"Valdez-Cordova, AK",02261,0,2349,0000,0000,0,2395,0000,0000,0,2211,0000,0000,0,2266,0000,0000,0,2218,0000,0000,0,2292,0000,0000,0,2236,0000,0000,0,2183,0000,0000,0,2114,0000,0000,0,1752,0000,0000
"Wade Hampton, AK",02270,0,2169,0000,0000,0,2523,0000,0000,0,2603,0000,0000,0,2379,0000,0000,0,2354,0000,0000,0,2436,0000,0000,0,2547,0000,0000,0,2573,0000,0000,0,2517,0000,0000,0,2508,0000,0000
"Wrangell, AK",02275,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000,2,0,5090,0000
"Yakutat, AK",02282,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,0,0000,0000,0,125,0000,0000,0,134,0000,0000,0,135,0000,0000,0,117,0000,0000
"Yukon-Koyukuk, AK",02290,0,2566,0000,0000,0,3600,0000,0000,0,5653,0000,0000,0,6684,0000,0000,0,7121,0000,0000,0,7350,0000,0000,0,7932,0000,0000,0,7865,0000,0000,0,7271,0000,0000,0,5071,0000,0000
ARIZONA,04000,0,798069,0000,0000,0,814339,0000,0000,0,847416,0000,0000,0,867509,0000,0000,0,891535,0000,0000,0,936019,0000,0000,0,1012068,0000,0000,0,1043298,0000,0000,0,1094454,0000,0000,0,1065082,0000,0000
"Apache, AZ",04001,0,17904,0000,0000,0,17536,0000,0000,0,16037,0000,0000,0,20759,0000,0000,0,19993,0000,0000,0,20225,0000,0000,0,14416,0000,0000,0,13891,0000,0000,0,13910,0000,0000,0,13595,0000,0000
"Cochise, AZ",04003,0,21429,0000,0000,0,21330,0000,0000,0,20924,0000,0000,0,19977,0000,0000,0,20114,0000,0000,0,20788,0000,0000,0,22110,0000,0000,0,22703,0000,0000,0,22843,0000,0000,0,20905,0000,0000
"Coconino, AZ",04005,0,20888,0000,0000,0,20863,0000,0000,0,21084,0000,0000,0,25030,0000,0000,0,24822,0000,0000,0,24305,0000,0000,0,21463,0000,0000,0,21042,0000,0000,0,22665,0000,0000,0,21334,0000,0000
"Gila, AZ",04007,0,9653,0000,0000,0,9511,0000,0000,0,9484,0000,0000,0,9060,0000,0000,0,8585,0000,0000,0,9799,0000,0000,0,9295,0000,0000,0,8524,0000,0000,0,10823,0000,0000,0,8424,0000,0000
"Graham, AZ",04009,0,6295,0000,0000,0,6278,0000,0000,0,6368,0000,0000,0,5947,0000,0000,0,5698,0000,0000,0,5693,0000,0000,0,7151,0000,0000,0,7285,0000,0000,0,7360,0000,0000,0,5783,0000,0000
"Greenlee, AZ",04011,0,2254,0000,0000,0,2199,0000,0000,0,2056,0000,0000,0,1934,0000,0000,0,1919,0000,0000,0,1784,0000,0000,0,1686,0000,0000,0,1624,0000,0000,0,1774,0000,0000,0,1697,0000,0000
"La Paz, AZ",04012,0,3037,0000,0000,0,2980,0000,0000,0,3033,0000,0000,0,2953,0000,0000,0,2859,0000,0000,0,2889,0000,0000,0,2784,0000,0000,0,2828,0000,0000,0,2795,0000,0000,0,2742,0000,0000
"Maricopa, AZ",04013,0,461260,0000,0000,0,476219,0000,0000,0,502835,0000,0000,0,508817,0000,0000,0,534697,0000,0000,0,567038,0000,0000,0,627113,0000,0000,0,652927,0000,0000,0,688428,0000,0000,0,675138,0000,0000
"Mohave, AZ",04015,0,21987,0000,0000,0,22519,0000,0000,0,22795,0000,0000,0,24022,0000,0000,0,25094,0000,0000,0,25920,0000,0000,0,27375,0000,0000,0,27342,0000,0000,0,27951,0000,0000,0,27910,0000,0000
